编号,重量,价值,价值/重量比
1,35,360.77,10.3077
2,97,364.33,3.7560
3,90,301.33,3.3481
4,53,207.21,3.9096
5,48,159.83,3.3298
6,30,415.21,13.8403
7,6,336.76,56.1267
8,35,250.37,7.1534
9,40,325.76,8.1440
10,53,238.46,4.4992
11,62,144.94,2.3377
12,99,387.94,3.9186
13,30,117.74,3.9247
14,34,265.49,7.8085
15,64,324.18,5.0653
16,42,365.04,8.6914
17,10,224.25,22.4250
18,42,110.97,2.6421
19,18,102.12,5.6733
20,64,124.42,1.9441
21,32,245.36,7.6675
22,76,161.26,2.1218
23,64,163.22,2.5503
24,43,350.49,8.1509
25,44,311.86,7.0877
26,63,418.64,6.6451
27,26,110.58,4.2531
28,73,268.98,3.6847
29,92,287.89,3.1292
30,74,205.57,2.7780
31,67,392.25,5.8545
32,42,238.91,5.6883
33,17,161.32,9.4894
34,10,367.58,36.7580
35,90,172.66,1.9184
36,92,289.62,3.1480
37,22,311.20,14.1455
38,88,110.42,1.2548
39,37,323.95,8.7554
40,13,173.18,13.3215
41,87,341.83,3.9291
42,76,267.87,3.5246
43,29,396.27,13.6645
44,8,277.07,34.6337
45,95,415.07,4.3692
46,71,220.79,3.1097
47,64,380.21,5.9408
48,72,120.19,1.6693
49,11,166.29,15.1173
50,66,263.85,3.9977
51,19,380.55,20.0289
52,12,330.40,27.5333
53,89,118.76,1.3344
54,45,244.85,5.4411
55,100,166.86,1.6686
56,57,239.47,4.2012
57,53,353.67,6.6730
58,81,375.04,4.6301
59,40,239.83,5.9958
60,36,270.24,7.5067
61,63,368.13,5.8433
62,18,277.97,15.4428
63,74,153.12,2.0692
64,77,268.79,3.4908
65,7,120.86,17.2657
66,94,209.45,2.2282
67,27,316.92,11.7378
68,9,335.16,37.2400
69,40,299.75,7.4938
70,88,188.32,2.1400
71,44,401.79,9.1316
72,89,220.48,2.4773
73,30,172.74,5.7580
74,61,315.25,5.1680
75,76,241.03,3.1714
76,60,239.58,3.9930
77,17,230.99,13.5876
78,31,313.19,10.1029
79,99,282.56,2.8541
80,9,422.39,46.9322
81,27,121.73,4.5085
82,5,255.66,51.1320
83,60,279.45,4.6575
