物品数n,容量C,蛮力法时间(ms),蛮力法价值,动态规划时间(ms),动态规划价值,贪心法时间(ms),贪心法价值,回溯法时间(ms),回溯法价值
10,10000,0,2960.03,0,2960.03,0,2960.03,0,2960.03
15,10000,4,4200.32,0,4200.32,0,4200.32,0,4200.32
20,10000,107,5127.12,0,5127.12,0,5127.12,0,5127.12
25,10000,0,0.00,0,6359.31,0,6359.31,0,6359.31
1000,10000,0,0.00,5,125278.71,0,125219.42,0,0.00
2000,10000,0,0.00,12,176583.27,1,176523.85,0,0.00
3000,10000,0,0.00,15,212332.38,2,212322.40,0,0.00
4000,10000,0,0.00,19,245894.79,4,245893.22,0,0.00
5000,10000,0,0.00,21,274636.46,6,274537.98,0,0.00
6000,10000,0,0.00,25,298148.68,8,298117.45,0,0.00
7000,10000,0,0.00,30,319604.79,11,319588.67,0,0.00
8000,10000,0,0.00,33,344374.86,15,344323.25,0,0.00
9000,10000,0,0.00,37,367959.29,18,367868.38,0,0.00
10000,10000,0,0.00,68,387361.92,39,387323.56,0,0.00
20000,10000,0,0.00,91,531604.88,100,531577.18,0,0.00
40000,10000,0,0.00,190,736761.60,408,736761.60,0,0.00
80000,10000,0,0.00,237,1026604.09,1431,1026603.70,0,0.00
160000,10000,0,0.00,0,0.00,28314,1375210.58,0,0.00
320000,10000,0,0.00,0,0.00,43478,1867010.60,0,0.00
10,100000,0,2089.84,1,2089.84,0,2089.84,0,2089.84
15,100000,2,3336.15,0,3336.15,0,3336.15,0,3336.15
20,100000,54,4625.26,1,4625.26,0,4625.26,0,4625.26
25,100000,0,0.00,1,6028.21,0,6028.21,0,6028.21
1000,100000,0,0.00,30,264901.80,0,264901.80,0,0.00
2000,100000,0,0.00,60,528570.27,1,528490.14,0,0.00
3000,100000,0,0.00,115,673161.06,3,673148.88,0,0.00
4000,100000,0,0.00,179,783194.07,4,783159.13,0,0.00
5000,100000,0,0.00,221,877762.93,6,877759.03,0,0.00
6000,100000,0,0.00,272,965822.25,8,965740.06,0,0.00
7000,100000,0,0.00,303,1038246.29,12,1038246.29,0,0.00
8000,100000,0,0.00,359,1117788.50,15,1117777.48,0,0.00
9000,100000,0,0.00,413,1181883.61,18,1181854.02,0,0.00
10000,100000,0,0.00,450,1242956.08,23,1242956.08,0,0.00
20000,100000,0,0.00,864,1751086.91,87,1751086.91,0,0.00
40000,100000,0,0.00,1724,2438840.35,347,2438827.54,0,0.00
80000,100000,0,0.00,0,0.00,1751,3459346.01,0,0.00
160000,100000,0,0.00,0,0.00,8882,4831633.19,0,0.00
320000,100000,0,0.00,0,0.00,49151,6678768.46,0,0.00
10,1000000,0,2934.39,11,2934.39,0,2934.39,0,2934.39
15,1000000,3,4451.77,13,4451.77,0,4451.77,0,4451.77
20,1000000,91,5559.24,15,5559.24,0,5559.24,0,5559.24
25,1000000,0,0.00,17,6777.95,0,6777.95,0,6777.95
1000,1000000,0,0.00,503,261415.64,0,261415.64,0,0.00
2000,1000000,0,0.00,1034,527552.09,1,527552.09,0,0.00
3000,1000000,0,0.00,1659,798607.24,2,798607.24,0,0.00
4000,1000000,0,0.00,1999,1058980.86,4,1058980.86,0,0.00
5000,1000000,0,0.00,2420,1323322.08,10,1323322.08,0,0.00
6000,1000000,0,0.00,3371,1586126.22,9,1586126.22,0,0.00
7000,1000000,0,0.00,3582,1854573.95,14,1854573.95,0,0.00
8000,1000000,0,0.00,4114,2117091.54,21,2117091.54,0,0.00
9000,1000000,0,0.00,4562,2372093.99,21,2372093.99,0,0.00
10000,1000000,0,0.00,5245,2625049.65,22,2625049.65,0,0.00
20000,1000000,0,0.00,965,5298998.75,87,5282544.75,0,0.00
40000,1000000,0,0.00,2706,8220928.31,902,7877690.51,0,0.00
80000,1000000,0,0.00,0,0.00,5054,11045788.57,0,0.00
160000,1000000,0,0.00,0,0.00,26643,15690476.96,0,0.00
320000,1000000,0,0.00,0,0.00,118473,22006190.53,0,0.00
