序号,第一次随机数,第二次随机数
1,7584,25130
2,19164,6437
3,25795,10622
4,22125,12166
5,5828,13152
6,23405,29808
7,27477,24600
8,5413,4745
9,29072,21803
10,23404,4310
11,14959,24279
12,14800,3771
13,20443,6789
14,21732,10549
15,9534,6572
16,14076,6812
17,21966,26881
18,10216,29095
19,26075,1507
20,3949,24986
21,10218,23648
22,8325,31932
23,11118,31315
24,15284,29565
25,2636,18527
26,10485,1542
27,21401,24536
28,3588,770
29,1328,3284
30,27669,17883
31,21268,17923
32,2112,30662
33,12981,28665
34,31770,12886
35,4500,12303
36,22616,22374
37,6624,29448
38,20863,20895
39,15602,11799
40,28374,18917
41,15074,21768
42,13889,364
43,22409,5767
44,25524,15694
45,12446,14310
46,29007,22472
47,1504,29649
48,7537,27802
49,2918,7111
50,17980,276
51,24457,31329
52,28260,19923
53,18693,9373
54,7480,16203
55,18248,6866
56,7247,11130
57,3587,24056
58,26430,28298
59,3704,1122
60,1591,27943
61,1060,28960
62,4751,13007
63,26539,11171
64,23667,21359
65,562,352
66,9054,13056
67,27793,10612
68,7940,11018
69,24828,8868
70,17613,1328
71,15131,1584
72,22052,15157
73,8607,7751
74,26136,12319
75,28127,17701
76,14625,29526
77,18692,31270
78,14352,26111
79,29631,17480
80,14188,7135
81,5290,30201
82,7884,23678
83,2757,17446
84,6125,3700
85,27814,29411
86,27547,26112
87,25170,11294
88,8858,14672
89,14056,31047
90,29500,12332
91,10360,24270
92,2120,29157
93,28607,20702
94,21586,19371
95,1700,13003
96,31937,23234
97,11168,24326
98,530,24876
99,20864,25493
100,14102,24762

比较次数统计
算法,第一次,第二次,差值,是否同一等价类
冒泡排序,4950,4950,0,是
合并排序,545,541,4,是
快速排序,657,724,-67,否
